PairID,DiffLOC,DiffIdentifierNo,DiffOperatorNo,DiffTokenNo,DiffTokenTypeDiversity,DiffUniqueIdentifierNo,DiffUniqueOperatorNo,DiffUniqueTokenNo,DiffFileNameScore,DiffMethodNameScore,IsSameReturnType,c2v_0,c2v_1,c2v_2,c2v_3,c2v_4,c2v_5,c2v_6,c2v_7,c2v_8,c2v_9,c2v_10,c2v_11,Decision
0,2,3,0,14,1,5,0,5,0.925926,0.894737,true,0.040567,-0.015083,-0.275069,-0.050414,0.454014,-0.037971,-0.33369,-0.005582,0.05577,0.23738,0.095045,0.229234,false
1,0,1,1,7,0,2,1,0,0.925926,0.894737,true,0.404902,0.318977,0.220553,0.132407,0.512312,0.059518,-0.284217,0.293341,0.019469,0.315477,0.563493,0.305042,false
2,0,1,0,3,0,1,0,3,0,0.894737,false,0.664708,0.54995,0.417988,0.704883,0.696657,0.710406,0.714763,0.641666,0.651997,0.432602,0.282776,0.833046,true
3,0,2,1,2,1,2,1,1,0,0.428571,false,0.180702,0.43395,0.359859,0.165455,0.364887,0.361961,0.267023,0.180033,0.266466,0.326937,0.20707,0.547689,true
4,1,3,1,8,1,2,1,3,0,0.894737,false,0.15357,0.290325,-0.046898,-0.041577,0.274246,0.266145,-0.104312,-0.10903,0.141248,0.017017,-0.124703,0.260071,true
5,1,2,1,2,1,3,1,0,0,0.368421,false,0.238763,0.523964,0.324781,0.13776,0.397765,0.341896,0.032602,0.039003,0.159106,0.237276,0.064141,0.4645,true
6,6,9,23,59,1,24,2,34,0.571429,0.818182,false,0.164059,0.093085,-0.072356,-0.02062,-0.042415,-0.060007,-0.111525,0.250596,-0.239586,0.052565,-0.038023,0.079915,false
7,1,7,27,11,1,16,0,20,0.571429,1,false,-0.258649,0.344238,-0.027806,0.316609,0.270569,0.300693,0.168543,0.244721,-0.22375,0.036852,-0.15653,0.105718,false
8,3,10,2,26,2,2,2,2,0.608696,0.842105,false,0.016119,-0.026053,0.26799,0.239483,0.051158,0.201388,0.013006,0.365167,0.324866,-0.076495,0.160005,0.162555,false
9,3,9,10,25,0,6,3,4,0.666667,1,true,0.144396,-0.185625,-0.130805,0.009139,-0.105518,0.387178,0.215365,0.223485,0.021503,0.210178,-0.04986,0.06454,false
10,3,9,1,17,0,10,4,5,0.666667,0.842105,true,0.036563,0.117346,0.204476,0.375016,0.059502,0.14078,0.295522,0.229003,0.345649,-0.033447,-0.017118,-0.098859,false
11,4,3,5,17,1,9,3,0,0.6875,0.8125,false,0.194105,0.274159,0.176901,0.058359,0.020891,0.299954,0.259071,0.040657,0.201343,-0.017135,0.066189,-0.07404,false
12,3,1,19,21,0,3,4,7,0.583333,0.809524,false,0.260436,0.028591,-0.022585,-0.195989,0.215701,0.13578,0.267282,-0.244769,-0.116596,0.14054,0.052903,0.135161,false
13,4,7,4,20,0,3,0,3,0.777778,0.875,false,0.295739,0.427893,0.103595,0.089946,-0.062511,0.192378,0.194474,0.310998,0.386448,-0.138329,0.088795,0.34315,false
14,2,13,7,12,0,10,4,0,0.6875,0.666667,false,-0.021964,-0.042436,0.126308,0.025761,0.163375,0.022345,0.054486,0.090863,0.006854,0.078073,0.073608,-0.166578,false
15,6,12,3,24,0,13,1,9,0.814815,0.909091,true,0.322053,-0.142729,0.078593,-0.044174,0.50393,-0.074505,0.098069,-0.099342,0.343993,-0.162075,0.446076,0.332131,false
16,2,5,8,4,0,4,5,4,0.583333,0.772727,true,0.146413,-0.049207,-0.146836,-0.10336,0.307998,0.237397,0.016671,-0.247973,-0.046879,0.225207,0.026628,0.047641,false
17,16,59,1,104,0,13,2,3,0,0.380952,true,0.498756,0.239136,-0.158992,-0.23527,0.060539,0.079998,0.111631,0.187241,-0.239303,-0.017886,-0.115696,0.019269,true
18,14,2,18,1,0,3,4,3,0,0.65,true,0.150602,0.15871,0.039143,-0.083022,0.271493,0.169511,0.026253,-0.018035,0.031984,0.03334,0.369907,0.401543,true
19,8,4,12,27,0,1,1,5,0.666667,0.85,false,0.28647,0.248944,0.12124,0.119877,0.420074,-0.011145,0.364015,0.077527,0.221819,0.503191,0.419637,0.359633,false
20,2,4,1,2,0,6,1,5,0.925926,0.857143,true,0.383039,-0.017096,0.302634,-0.04621,0.145762,0.235414,0.080084,0.397212,0.244386,0.198229,0.309433,0.249039,false
21,2,10,3,17,0,8,3,5,0.571429,0.75,false,0.48166,0.22712,-0.06358,0.51001,0.295319,0.542544,0.222554,0.354258,-0.012,0.050475,0.406415,0.081286,false
22,5,4,3,15,0,4,2,1,0,0.736842,true,0.037253,0.160488,0.069561,0.320622,0.251889,0.159527,0.330856,-0.031788,0.318042,0.138792,-0.058975,0.087759,true
23,6,5,0,2,0,2,0,2,0.925926,0.772727,true,0.322644,-0.368923,-0.021094,0.607152,0.295329,0.481098,0.471678,-0.066408,-0.087069,0.168799,0.246949,0.291401,false
24,4,4,0,1,0,6,0,4,0,0.571429,false,0.382776,0.547319,0.363555,0.424699,0.600331,0.397266,-0.042708,0.627216,0.24255,0.297477,0.510474,0.082703,true
25,3,5,6,7,0,4,0,0,0.930233,0.933333,true,-0.108669,-0.472032,0.133317,0.2754,0.056008,0.09983,0.112551,0.111572,0.232654,0.272708,0.18792,0.260719,false
26,6,0,9,20,0,4,2,6,0.8125,0.866667,false,0.206258,-0.042218,0.311742,0.003471,0.077052,-0.026277,-0.274203,0.140171,-0.164989,0.295611,0.315538,-0.189129,false
27,4,1,2,4,0,4,0,4,0,0.571429,false,0.395449,0.480889,0.607027,0.541147,0.68848,0.443237,0.318292,0.544368,0.16058,0.542923,0.611497,0.211023,true
28,2,1,1,8,0,7,1,3,0.925926,0.416667,true,0.722291,0.278404,0.456608,0.230086,0.649005,0.633717,0.572003,0.375212,0.269439,0.576789,0.600521,0.477525,true
29,6,10,5,28,0,3,2,7,0.75,0.9,false,-0.162616,0.042251,0.288305,0.284013,0.00108,0.085699,0.121044,0.317275,0.053284,-0.124957,0.50973,0.0102,false
30,2,10,4,22,0,11,0,20,0.8125,1,false,0.354085,0.005822,0.350573,0.033343,-0.203097,-0.032113,-0.136083,-0.026943,0.021431,-0.13806,-0.084772,0.298372,false
31,8,26,9,48,0,15,5,24,0.5,1,false,0.184265,0.182406,0.264934,0.245908,0.093527,0.296027,0.011949,0.337291,0.188195,0.146304,0.169014,0.071147,false
32,8,22,8,27,0,31,0,37,0.571429,0.785714,false,-0.024582,-0.261314,-0.423799,-0.350275,-0.037292,-0.009703,-0.219581,-0.103732,0.010659,-0.190123,-0.24696,-0.112762,false
33,7,12,5,2,0,18,1,18,0.826087,0.888889,false,0.340551,0.064538,0.214297,0.404628,0.395439,-0.045797,0.481266,0.393479,0.457535,-0.070553,0.413697,0.273658,false
34,1,9,3,32,0,5,1,7,0.75,0.846154,false,-0.084484,0.075941,0.276744,0.454649,0.044222,0.129449,0.365805,0.291175,0.23797,0.158268,0.495883,-0.14798,false
35,3,4,5,18,0,23,0,25,0.571429,0.909091,false,-0.010644,-0.313855,-0.456479,-0.303588,-0.171669,0.097922,-0.226462,-0.077381,0.036089,-0.217277,-0.069565,-0.104874,false
36,0,21,8,17,0,15,3,19,0.925926,0.888889,false,0.610702,0.468778,0.615508,0.615122,0.721494,0.59878,0.617756,0.578563,0.299133,0.413343,0.620603,0.48353,false
37,5,6,2,8,0,20,0,26,0.571429,0.866667,false,0.091975,-0.328199,-0.159937,-0.226405,-0.064585,-0.020498,0.03514,0.073046,-0.059713,-0.09971,0.025316,-0.356775,false
38,8,23,2,26,0,31,0,37,0.571429,1,false,-0.024709,-0.216764,-0.410092,-0.181694,0.072603,0.092605,0.055568,0.063641,-0.029243,-0.210461,-0.064787,-0.087827,false
39,9,18,2,24,0,30,1,39,0.571429,0.846154,false,0.02407,-0.388553,0.038418,-0.379119,-0.119267,-0.159276,-0.194771,0.135125,-0.208043,-0.102954,-0.074657,-0.167694,false
40,7,24,3,31,0,35,0,40,0.571429,0.933333,false,0.112175,-0.210766,-0.461333,-0.290795,-0.041634,0.211935,-0.112652,-0.023752,-0.115544,0.072264,-0.036003,-0.191022,false
41,7,10,5,15,0,26,1,28,0.5,0.888889,false,0.292032,-0.083357,0.110706,-0.173398,0.114131,0.086784,0.019876,-0.118513,-0.028125,0.185415,0.080038,0.037814,false
42,8,19,2,18,0,31,0,37,0.571429,0.882353,false,0.007705,-0.030552,-0.249654,-0.106237,0.071092,-0.155937,-0.282557,-0.000617,0.050202,0.045655,-0.147745,-0.171031,false
43,3,2,3,16,0,18,0,24,0.571429,1,false,0.302674,-0.078466,-0.064416,-0.210595,0.173425,0.109443,-0.205525,-0.037078,-0.048912,0.058272,0.19255,-0.187524,false
44,2,4,1,7,1,3,1,5,0.666667,0.9375,true,-0.173736,0.109758,-0.158802,-0.142174,0.44622,0.174193,0.089925,-0.003399,0.054001,-0.146426,0.028764,0.398633,false
45,2,2,0,11,1,4,0,2,0.925926,0.8125,false,0.028509,-0.088436,-0.268409,-0.2056,0.375222,-0.197767,-0.322913,-0.178648,-0.162293,-0.286801,-0.240503,-0.002729,false
46,1,2,2,3,0,4,2,0,0.5,0.8125,false,0.328507,0.245519,0.145398,-0.200292,0.27874,-0.088678,0.251533,-0.159595,0.157201,-0.069298,-0.234074,-0.05136,false
47,0,3,0,7,0,3,0,2,0.666667,0.75,false,-0.020925,0.092715,0.119581,-0.249855,0.247748,-0.173006,-0.17042,-0.282734,0.11856,0.168726,0.027221,-0.034296,false
48,2,1,1,12,2,3,1,6,0.925926,0.809524,false,0.000813,-0.163239,-0.093663,-0.146935,0.314919,-0.112855,-0.016986,0.122779,-0.038079,-0.229815,-0.257239,0.003979,false
49,1,0,1,6,0,3,1,2,0.925926,0.8125,false,0.180288,-0.162369,-0.134317,-0.184867,0.132317,-0.098378,0.068608,0.133075,-0.092728,0.145655,-0.274939,-0.029787,false
50,1,8,9,17,0,1,3,7,0.930233,0.8125,true,0.010477,0.061912,0.081016,0.211154,0.383408,0.349556,0.310741,0.286644,-0.176321,0.385395,0.179333,-0.178542,false
